"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-13",,"39","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-14",,"38","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-15",,"41","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-16",,"42","29"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-17",,"40","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-18",,"46","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-19",,"42","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-20",,"47","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-21",,"39","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-22",,"35","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-23",,"38","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-24",,"49","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-25",,"38","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-26",,"37","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-27",,"48","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-28",,"72","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-29",,"52","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-30",,"50","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-03-31",,"55","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-01",,"64","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-02",,"47","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-03",,"46","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-04",,"64","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-05",,"53","42"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-06",,"46","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-07",,"51","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-08",,"55","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-09",,"47","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-10",,"50","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-11",,"51","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-12",,"69","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-13",,"64","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-14",,"61","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-15",,"80","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-16",,"67","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-17",,"60","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-18",,"60","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-19",,"55","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-20",,"62","41"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-21",,"64","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-22",,"81","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-23",,"65","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-24",,"59","45"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-25",,"88","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-26",,"66","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-27",,"64","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-28",,"65","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-29",,"69","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-04-30",,"60","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-01",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-02",,"64","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-03",,"71","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-04",,"70","49"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-05",,"72","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-06",,"73","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-07",,"68","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-08",,"62","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-09",,"64","51"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-10",,"63","46"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-11",,"67","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-12",,"65","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-13",,"66","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-14",,"66","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-15",,"72","50"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-16",,"82","61"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-17",,"75","58"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-18",,"65","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-19",,"76","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-20",,"73","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-21",,"77","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-22",,"57","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-23",,"60","53"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-24",,"71","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-25",,"72","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-26",,"75","55"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-27",,"78","57"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-28",,"68","54"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-29",,"66","52"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-30",,"70","56"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-05-31",,"77","60"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-01",,"76","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-02",,"84","63"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-03",,"73","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-04",,"72","64"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-05",,"79","65"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1960-06-06",,"84","65"
